iter	Passed	Remaining
0	7	7155
1	14	7224
2	21	7170
3	27	6956
4	34	6889
5	40	6731
6	46	6591
7	53	6606
8	59	6579
9	66	6594
10	72	6506
11	78	6449
12	86	6530
13	92	6505
14	98	6492
15	104	6453
16	110	6384
17	117	6431
18	123	6386
19	129	6369
20	136	6357
21	142	6334
22	149	6346
23	155	6306
24	161	6289
25	167	6278
26	174	6281
27	181	6284
28	186	6254
29	192	6231
30	199	6223
31	204	6190
32	211	6187
33	218	6200
34	224	6180
35	230	6159
36	236	6148
37	242	6151
38	249	6152
39	255	6139
40	261	6128
41	268	6118
42	273	6091
43	280	6087
44	285	6055
45	290	6024
46	295	5988
47	300	5966
48	306	5941
49	311	5913
50	316	5887
51	321	5866
52	326	5842
53	332	5830
54	338	5808
55	343	5795
56	349	5774
57	354	5753
58	359	5732
59	364	5715
60	370	5697
61	375	5677
62	380	5657
63	385	5638
64	390	5621
65	396	5604
66	401	5586
67	406	5569
68	411	5553
69	416	5539
70	422	5525
71	427	5515
72	433	5507
73	438	5491
74	444	5484
75	449	5470
76	455	5464
77	461	5456
78	466	5440
79	472	5429
80	477	5418
81	482	5404
82	487	5388
83	492	5374
84	497	5357
85	503	5346
86	509	5342
87	513	5324
88	519	5313
89	524	5303
90	529	5293
91	534	5279
92	540	5272
93	546	5263
94	551	5254
95	556	5242
96	561	5228
97	567	5218
98	572	5209
99	577	5201
100	583	5193
101	588	5181
102	593	5169
103	598	5159
104	604	5150
105	609	5137
106	614	5128
107	619	5120
108	624	5108
109	630	5098
110	635	5090
111	640	5079
112	645	5066
113	650	5054
114	656	5050
115	661	5042
116	666	5031
117	671	5022
118	676	5011
119	682	5002
120	687	4991
121	691	4978
122	697	4970
123	702	4959
124	706	4948
125	712	4939
126	717	4928
127	722	4921
128	727	4911
129	732	4901
130	737	4894
131	742	4882
132	747	4874
133	753	4869
134	758	4858
135	763	4850
136	768	4842
137	773	4832
138	778	4820
139	783	4812
140	788	4802
141	792	4791
142	798	4784
143	803	4775
144	808	4767
145	813	4759
146	818	4750
147	823	4741
148	828	4732
149	833	4724
150	838	4715
151	843	4708
152	848	4699
153	854	4693
154	859	4687
155	865	4679
156	870	4672
157	875	4664
158	880	4657
159	885	4651
160	890	4641
161	895	4634
162	901	4630
163	906	4622
164	911	4614
165	916	4606
166	921	4597
167	926	4588
168	931	4580
169	936	4572
170	941	4566
171	947	4560
172	954	4564
173	960	4559
174	965	4553
175	970	4544
176	975	4537
177	980	4529
178	985	4522
179	991	4515
180	995	4506
181	1001	4502
182	1006	4495
183	1011	4487
184	1017	4480
185	1022	4472
186	1027	4466
187	1033	4461
188	1037	4453
189	1042	4446
190	1048	4438
191	1053	4433
192	1058	4427
193	1064	4423
194	1069	4416
195	1075	4411
196	1079	4402
197	1084	4394
198	1089	4386
199	1095	4381
200	1100	4374
201	1105	4366
202	1110	4359
203	1115	4353
204	1120	4345
205	1126	4340
206	1131	4332
207	1136	4325
208	1140	4317
209	1145	4310
210	1151	4306
211	1156	4298
212	1161	4292
213	1166	4285
214	1172	4279
215	1177	4273
216	1182	4266
217	1187	4261
218	1193	4255
219	1198	4249
220	1204	4244
221	1208	4236
222	1213	4229
223	1219	4224
224	1224	4218
225	1229	4212
226	1234	4204
227	1239	4197
228	1245	4191
229	1250	4187
230	1255	4181
231	1261	4174
232	1266	4167
233	1271	4162
234	1276	4154
235	1281	4148
236	1286	4142
237	1291	4134
238	1296	4129
239	1301	4122
240	1306	4115
241	1311	4108
242	1317	4103
243	1321	4095
244	1327	4091
245	1332	4084
246	1337	4078
247	1342	4071
248	1348	4066
249	1353	4061
250	1358	4055
251	1364	4049
252	1369	4042
253	1374	4036
254	1379	4031
255	1384	4025
256	1389	4018
257	1394	4011
258	1400	4006
259	1405	3999
260	1410	3993
261	1415	3988
262	1420	3980
263	1425	3973
264	1430	3967
265	1435	3962
266	1440	3955
267	1446	3950
268	1452	3946
269	1457	3940
270	1462	3934
271	1468	3930
272	1474	3925
273	1480	3921
274	1485	3916
275	1491	3912
276	1497	3907
277	1503	3906
278	1510	3903
279	1516	3900
280	1522	3894
281	1527	3888
282	1532	3881
283	1537	3876
284	1543	3872
285	1548	3865
286	1552	3857
287	1558	3852
288	1562	3845
289	1567	3837
290	1572	3831
291	1577	3824
292	1582	3819
293	1587	3813
294	1593	3807
295	1598	3802
296	1604	3797
297	1610	3793
298	1615	3787
299	1620	3782
300	1626	3777
301	1631	3771
302	1636	3765
303	1642	3761
304	1648	3756
305	1653	3749
306	1658	3743
307	1663	3737
308	1668	3731
309	1673	3725
310	1679	3720
311	1683	3713
312	1689	3707
313	1694	3701
314	1699	3695
315	1704	3689
316	1709	3683
317	1714	3676
318	1719	3671
319	1725	3665
320	1731	3663
321	1737	3657
322	1743	3653
323	1748	3647
324	1753	3641
325	1759	3637
326	1764	3630
327	1769	3625
328	1774	3620
329	1780	3614
330	1785	3608
331	1790	3602
332	1795	3596
333	1800	3589
334	1805	3583
335	1810	3577
336	1815	3571
337	1821	3566
338	1826	3561
339	1831	3554
340	1836	3549
341	1841	3543
342	1846	3537
343	1851	3531
344	1857	3527
345	1862	3521
346	1867	3515
347	1873	3509
348	1878	3504
349	1883	3498
350	1889	3493
351	1895	3488
352	1900	3483
353	1905	3478
354	1911	3473
355	1916	3467
356	1921	3461
357	1927	3456
358	1932	3450
359	1938	3446
360	1943	3439
361	1948	3433
362	1953	3428
363	1959	3423
364	1964	3418
365	1970	3413
366	1975	3406
367	1981	3402
368	1986	3396
369	1991	3390
370	1996	3385
371	2001	3379
372	2007	3374
373	2013	3369
374	2018	3364
375	2024	3359
376	2029	3353
377	2035	3348
378	2040	3343
379	2045	3337
380	2051	3333
381	2057	3328
382	2062	3322
383	2068	3317
384	2073	3311
385	2078	3306
386	2083	3300
387	2089	3295
388	2094	3290
389	2099	3284
390	2104	3278
391	2110	3273
392	2115	3267
393	2121	3262
394	2126	3257
395	2131	3251
396	2137	3246
397	2142	3240
398	2148	3236
399	2153	3230
400	2158	3224
401	2163	3218
402	2169	3213
403	2174	3207
404	2179	3202
405	2185	3197
406	2190	3192
407	2196	3186
408	2201	3180
409	2206	3174
410	2211	3169
411	2217	3164
412	2221	3158
413	2226	3151
414	2231	3146
415	2236	3139
416	2241	3133
417	2247	3129
418	2252	3122
419	2257	3116
420	2262	3111
421	2267	3105
422	2272	3099
423	2277	3094
424	2283	3088
425	2287	3082
426	2293	3077
427	2298	3072
428	2304	3066
429	2309	3061
430	2315	3056
431	2320	3050
432	2325	3044
433	2330	3038
434	2336	3034
435	2341	3028
436	2346	3023
437	2351	3017
438	2357	3012
439	2362	3007
440	2368	3001
441	2373	2996
442	2379	2991
443	2384	2986
444	2390	2980
445	2395	2975
446	2400	2969
447	2405	2963
448	2410	2957
449	2415	2951
450	2420	2946
451	2425	2940
452	2430	2934
453	2436	2930
454	2441	2924
455	2447	2919
456	2452	2913
457	2456	2907
458	2461	2901
459	2466	2895
460	2472	2890
461	2477	2884
462	2481	2878
463	2487	2873
464	2492	2867
465	2497	2861
466	2502	2855
467	2507	2849
468	2511	2844
469	2517	2838
470	2522	2833
471	2528	2828
472	2534	2823
473	2538	2817
474	2544	2812
475	2549	2806
476	2554	2800
477	2559	2795
478	2564	2789
479	2569	2783
480	2574	2778
481	2579	2772
482	2584	2766
483	2589	2761
484	2595	2755
485	2600	2750
486	2605	2744
487	2610	2739
488	2616	2733
489	2621	2728
490	2626	2723
491	2632	2717
492	2637	2711
493	2642	2706
494	2647	2701
495	2652	2695
496	2657	2689
497	2662	2684
498	2667	2678
499	2673	2673
500	2679	2668
501	2683	2662
502	2689	2657
503	2694	2651
504	2699	2646
505	2704	2640
506	2710	2635
507	2715	2629
508	2720	2624
509	2725	2619
510	2731	2613
511	2736	2608
512	2742	2603
513	2747	2597
514	2752	2592
515	2757	2586
516	2762	2580
517	2767	2575
518	2773	2569
519	2778	2564
520	2783	2559
521	2789	2553
522	2794	2548
523	2799	2543
524	2804	2537
525	2810	2532
526	2815	2527
527	2820	2521
528	2825	2515
529	2830	2510
530	2836	2505
531	2842	2500
532	2847	2494
533	2852	2489
534	2857	2483
535	2862	2478
536	2868	2472
537	2873	2467
538	2878	2462
539	2884	2456
540	2889	2451
541	2894	2446
542	2900	2440
543	2905	2435
544	2910	2430
545	2915	2424
546	2920	2418
547	2925	2413
548	2930	2407
549	2936	2402
550	2941	2397
551	2946	2391
552	2952	2386
553	2957	2381
554	2962	2375
555	2967	2369
556	2973	2364
557	2978	2359
558	2984	2354
559	2990	2349
560	2995	2344
561	3000	2338
562	3005	2332
563	3010	2327
564	3015	2321
565	3021	2316
566	3026	2311
567	3032	2306
568	3038	2301
569	3044	2296
570	3050	2291
571	3056	2286
572	3061	2281
573	3067	2276
574	3072	2271
575	3078	2265
576	3084	2261
577	3089	2255
578	3094	2250
579	3101	2245
580	3107	2240
581	3112	2235
582	3119	2231
583	3125	2226
584	3130	2220
585	3136	2216
586	3142	2210
587	3147	2205
588	3153	2200
589	3159	2195
590	3165	2190
591	3170	2185
592	3175	2179
593	3182	2175
594	3187	2169
595	3192	2164
596	3198	2159
597	3203	2153
598	3208	2147
599	3214	2142
600	3219	2137
601	3224	2131
602	3230	2126
603	3236	2121
604	3241	2116
605	3247	2111
606	3252	2106
607	3258	2101
608	3264	2095
609	3270	2090
610	3276	2085
